Name = Untitled
Mach = 0.3; Re = 1000000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
-24.0	-0.280	0.26880	0.015	1.000	0.017	1.000	0.034	-1.042	0.305	0.302
-23.0	-0.269	0.25343	0.014	1.000	0.015	1.000	0.033	-1.062	0.304	0.302
-22.0	-0.258	0.23423	0.013	1.000	0.013	1.000	0.031	-1.102	0.309	0.302
-21.0	-0.247	0.21875	0.013	1.000	0.012	1.000	0.029	-1.130	0.303	0.302
-20.0	-0.236	0.20232	0.012	1.000	0.010	1.000	0.029	-1.166	0.304	0.302
-19.0	-0.225	0.18553	0.012	1.000	0.009	1.000	0.027	-1.211	0.312	0.302
-18.0	-0.213	0.17578	0.011	1.000	0.006	1.000	0.025	-1.214	0.308	0.301
-17.0	-0.202	0.16274	0.010	1.000	0.004	1.000	0.024	-1.241	0.307	0.301
-16.0	-0.190	0.15260	0.010	0.983	0.002	1.000	0.022	-1.248	0.279	0.300
-15.0	-0.179	0.12833	0.010	0.976	0.003	1.000	0.030	-1.397	0.216	0.304
-14.0	-0.169	0.10542	0.010	0.968	0.004	1.000	0.058	-1.601	0.159	0.311
-13.0	-0.160	0.08229	0.011	0.960	0.004	1.000	0.133	-1.945	-0.025	0.321
-12.0	-0.158	0.04580	0.013	0.950	0.005	1.000	0.416	-3.452	-0.535	0.334
-11.0	-0.157	0.02299	0.014	0.937	0.006	1.000	0.773	-6.826	0.269	0.338
-10.0	-0.147	0.01782	0.013	0.922	0.007	1.000	0.916	-8.258	0.333	0.339
-9.0	-0.134	0.01561	0.012	0.903	0.009	1.000	0.966	-8.580	0.337	0.339
-8.0	-0.120	0.01454	0.011	0.880	0.012	1.000	0.988	-8.237	0.338	0.339
-7.0	-0.105	0.00908	0.009	0.850	0.017	1.000	1.000	-11.577	0.338	0.339
-6.0	-0.090	0.00845	0.008	0.813	0.025	1.000	1.000	-10.670	0.339	0.340
-5.0	-0.075	0.00792	0.007	0.765	0.052	1.000	1.000	-9.502	0.339	0.340
-4.0	-0.060	0.00724	0.005	0.707	0.138	1.000	1.000	-8.316	0.339	0.340
-3.0	-0.045	0.00685	0.004	0.639	0.216	1.000	1.000	-6.598	0.340	0.340
-2.0	-0.030	0.00664	0.003	0.567	0.287	1.000	1.000	-4.542	0.340	0.340
-1.0	-0.015	0.00655	0.001	0.495	0.356	1.000	1.000	-2.300	0.340	0.340
0.0	0.000	0.00644	-0.000	0.425	0.425	1.000	1.000	0.000	0.340	0.250
1.0	0.015	0.00648	-0.001	0.356	0.495	1.000	1.000	2.326	0.340	0.340
2.0	0.030	0.00665	-0.003	0.287	0.567	1.000	1.000	4.529	0.340	0.340
3.0	0.045	0.00685	-0.004	0.216	0.639	1.000	1.000	6.598	0.340	0.340
4.0	0.060	0.00723	-0.005	0.138	0.707	1.000	1.000	8.333	0.339	0.340
5.0	0.075	0.00791	-0.007	0.053	0.765	1.000	1.000	9.513	0.339	0.340
6.0	0.090	0.00846	-0.008	0.025	0.813	1.000	1.000	10.660	0.339	0.340
7.0	0.105	0.00900	-0.009	0.017	0.850	1.000	1.000	11.682	0.338	0.339
8.0	0.120	0.01452	-0.011	0.012	0.880	0.988	1.000	8.245	0.338	0.339
9.0	0.134	0.01561	-0.012	0.009	0.903	0.967	1.000	8.582	0.337	0.339
10.0	0.147	0.01782	-0.013	0.007	0.922	0.916	1.000	8.255	0.333	0.339
11.0	0.157	0.02299	-0.014	0.006	0.937	0.773	1.000	6.823	0.268	0.338
12.0	0.158	0.04583	-0.013	0.005	0.950	0.416	1.000	3.449	-0.509	0.334
13.0	0.160	0.08205	-0.011	0.004	0.960	0.135	1.000	1.951	-0.023	0.321
14.0	0.169	0.10530	-0.010	0.004	0.969	0.058	1.000	1.603	0.157	0.311
15.0	0.179	0.12786	-0.010	0.003	0.976	0.030	1.000	1.402	0.215	0.304
16.0	0.190	0.15215	-0.010	0.002	0.983	0.022	1.000	1.252	0.277	0.300
17.0	0.202	0.16331	-0.010	0.004	1.000	0.023	1.000	1.236	0.306	0.301
18.0	0.213	0.17674	-0.011	0.006	1.000	0.024	1.000	1.207	0.310	0.301
19.0	0.225	0.18554	-0.012	0.009	1.000	0.027	1.000	1.211	0.313	0.302
20.0	0.236	0.20184	-0.012	0.010	1.000	0.029	1.000	1.169	0.304	0.302
21.0	0.247	0.22041	-0.013	0.012	1.000	0.029	1.000	1.121	0.304	0.302
22.0	0.258	0.23531	-0.013	0.013	1.000	0.031	1.000	1.097	0.308	0.302
23.0	0.269	0.25217	-0.014	0.015	1.000	0.033	1.000	1.067	0.303	0.302
24.0	0.280	0.26630	-0.015	0.017	1.000	0.033	1.000	1.051	0.306	0.302
25.0	0.291	0.28215	-0.015	0.019	1.000	0.036	1.000	1.031	0.310	0.303
26.0	0.302	0.29909	-0.016	0.021	1.000	0.038	1.000	1.008	0.308	0.303
