NACA 64A-418
1.00000000	0.00000000
0.99738745	0.00204595
0.99277693	0.00366746
0.98670568	0.00537125
0.97923732	0.00726742
0.97041541	0.00943095
0.96028335	0.01193225
0.94889105	0.01485112
0.93629013	0.01825237
0.92251678	0.02212549
0.90759810	0.02641724
0.89154381	0.03100510
0.87436872	0.03577156
0.85614706	0.04079813
0.83693295	0.04608456
0.81674649	0.05149491
0.79561039	0.05688232
0.77358066	0.06221094
0.75073555	0.06752697
0.72713844	0.07280940
0.70285174	0.07802362
0.67793718	0.08312002
0.65245874	0.08804822
0.62647844	0.09273254
0.60006577	0.09712175
0.57329378	0.10117252
0.54623534	0.10482452
0.51896847	0.10803741
0.49157163	0.11075597
0.46412392	0.11289910
0.43671083	0.11441972
0.40941994	0.11524286
0.38234404	0.11524817
0.35558278	0.11441381
0.32922745	0.11289933
0.30336113	0.11081360
0.27806634	0.10819362
0.25342211	0.10508299
0.22950564	0.10151773
0.20639214	0.09752959
0.18415546	0.09314637
0.16286773	0.08839454
0.14259253	0.08332882
0.12339195	0.07799554
0.10533575	0.07240617
0.08849164	0.06657971
0.07291624	0.06056560
0.05865360	0.05443911
0.04576869	0.04822227
0.03434105	0.04192005
0.02443651	0.03558361
0.01612289	0.02928032
0.00945978	0.02311315
0.00449983	0.01722375
0.00128475	0.01181051
-0.00025137	0.00717810
-0.00061686	0.00374324
-0.00013934	0.00040134
0.00165017	-0.00404194
0.00495734	-0.00924434
0.01042356	-0.01442872
0.01784674	-0.01932652
0.02697064	-0.02393553
0.03765062	-0.02825617
0.04978022	-0.03230410
0.06327292	-0.03610550
0.07805341	-0.03969459
0.09405118	-0.04311702
0.11121529	-0.04634050
0.12949252	-0.04933275
0.14882111	-0.05210084
0.16913762	-0.05466056
0.19038195	-0.05699194
0.21249315	-0.05905892
0.23540556	-0.06084740
0.25905101	-0.06235068
0.28336037	-0.06354900
0.30826244	-0.06442104
0.33368427	-0.06493491
0.35955047	-0.06506334
0.38578255	-0.06470886
0.41229406	-0.06371677
0.43899892	-0.06211567
0.46581999	-0.06003520
0.49268192	-0.05755569
0.51950976	-0.05473026
0.54623386	-0.05164309
0.57278370	-0.04835119
0.59908856	-0.04489735
0.62508146	-0.04134224
0.65069484	-0.03773053
0.67586418	-0.03411829
0.70052889	-0.03057785
0.72462804	-0.02716932
0.74810111	-0.02394594
0.77088868	-0.02096075
0.79293238	-0.01826623
0.81418120	-0.01597716
0.83456885	-0.01406371
0.85402288	-0.01238865
0.87247338	-0.01077548
0.88986845	-0.00921821
0.90616639	-0.00779273
0.92132311	-0.00651433
0.93529975	-0.00542674
0.94805973	-0.00457219
0.95956576	-0.00394659
0.96978057	-0.00347505
0.97867157	-0.00307327
0.98621049	-0.00266720
0.99236957	-0.00217704
0.99710794	-0.00148458
1.00000000	0.00000000

