Biconvex airfoil 12%
1.00000000	0.00000000
0.99726095	0.00028132
0.98907380	0.00112220
0.97552826	0.00251343
0.95677273	0.00443977
0.93301270	0.00688010
0.90450850	0.00980764
0.87157241	0.01319007
0.83456530	0.01698946
0.79389263	0.02116146
0.75000000	0.02565332
0.70336832	0.03040001
0.65450850	0.03531792
0.60395585	0.04029625
0.55226423	0.04518719
0.50000000	0.04979721
0.44773577	0.05388291
0.39604415	0.05715559
0.34549150	0.05929807
0.29663168	0.05999577
0.25000000	0.05898084
0.20610737	0.05608437
0.16543470	0.05128838
0.12842759	0.04476667
0.09549150	0.03690337
0.06698730	0.02828093
0.04322727	0.01963370
0.02447174	0.01177053
0.01092620	0.00547621
0.00273905	0.00140728
0.00000000	-0.00000000
0.00273905	-0.00140728
0.01092620	-0.00547621
0.02447174	-0.01177053
0.04322727	-0.01963370
0.06698730	-0.02828093
0.09549150	-0.03690337
0.12842759	-0.04476667
0.16543470	-0.05128838
0.20610737	-0.05608437
0.25000000	-0.05898084
0.29663168	-0.05999577
0.34549150	-0.05929807
0.39604415	-0.05715559
0.44773577	-0.05388291
0.50000000	-0.04979721
0.55226423	-0.04518719
0.60395585	-0.04029625
0.65450850	-0.03531792
0.70336832	-0.03040001
0.75000000	-0.02565332
0.79389263	-0.02116146
0.83456530	-0.01698946
0.87157241	-0.01319007
0.90450850	-0.00980764
0.93301270	-0.00688010
0.95677273	-0.00443977
0.97552826	-0.00251343
0.98907380	-0.00112220
0.99726095	-0.00028132
1.00000000	-0.00000000

